Homonym,Index,S1,S2,S3
corner,45055,The chimney corner was full of cobwebs .,,A piano was in one corner of the room .
land,0-4,He made it the law of the land .,,There 's no work on the land any more .
extend,45051,Extend the loan .,,The war extended over five years .
charge,45050,I need to charge my car battery .,,He came charging into my office .
lap,45020,His lap was covered with food stains .,,The job fell right in my lap .
time,0-5,Time stops for nobody .,,The time of year for planting .
turn,0-0,"In Vermont , the leaves turn early .",,Ivory turns well .
begin,44986,This economic measure does n't even begin to deal with the problem of inflation .,,The first tourists began to arrive in Cambodia .
picture,45049,The very picture of a modern general .,,The political picture is favorable .
get,0-0,What did you get at the toy store ?,,She did n't get his name when they met the first time .
degree,44961,Murder in the second degree .,,There are 360 degrees in a circle .
ground,45142,He dropped the logs on the ground .,,They gained ground step by step .
pack,0-2,You had better pack your swollen ankle with ice .,,Pack the books into the boxes .
rock,44988,"While we 're in Brighton , let 's get a stick of rock !",,He threw a rock at me .
heart,44967,You have n't got the heart for baseball .,,Hearts were trumps .
bar,44988,It was an excellent kick but the ball hit the bar .,,The orchestra omitted the last twelve bars of the song .
raise,44928,Raise my salary .,,Raise the question of promotions .
kill,45143,Kill the engine .,,These new shoes are killing me !
matter,45108,Physicists study both the nature of matter and the forces which govern it .,,He always took some reading matter with him on the plane .
movement,44988,He had a bowel movement .,,It was an expensive watch with a diamond movement .
freeze,0-0,Do n't go outside wearing just a t-shirt ; you 'll freeze !,,Freeze the leftover food .
competition,44969,The newspaper is featuring a competition to win a car .,,The new stain remover was ten times more effective than the competition .
union,45047,Lightning produced an unusual union of the metals .,,Let C be the union of the sets A and B .
mouth,4-0,The jar had a wide mouth .,,They built a fire at the mouth of the cave .
strike,44991,The opponent refused to strike .,,"In the fifth inning , the Giants struck , sending three runners home to win the game 5 to 2 ."
double,45113,His first job in Hollywood was as a double for Clark Gable .,,He hit a double to deep centerfield .
love,45019,A mother 's love is not easily shaken .,,The theater was her first love .
stage,3-0,It set the stage for peaceful negotiations .,,He clambered up onto the stage and got the actors to help him into the box .
field,44988,He was an expert in the field of Chinese history .,,"The farmer 's field was a civil war battleground , and relics such a minnie bullets were frequently found while plowing ."
deal,44932,Deal a blow to someone .,,I can deal with this crew of workers .
piece,45019,He sacrificed a piece to get a strategic advantage .,,He needed a piece of granite .
drive,0-0,Drive a car or bus .,,She drives for the taxi company in Newark .
tolerate,45109,"I like the way he plays the guitar , but I ca n't tolerate his voice when he sings .",,The patient does not tolerate the anti-inflammatory drugs we gave him .
negociate,44927,Negociate securities .,,The pianist negociated the difficult runs .
charge,45023,Charge the wagon with hay .,,Will I get charged for this service ?
call,45080,The salesman 's call on a customer .,,That sound is the distinctive call of the cuckoo bird .
member,0-0,Canada is a member of the United Nations .,,Members of the opposite sex .
turn,45205,Turn on the spot .,,Turn the dial to 10 .
drop,0-1,A drop of each sample was analyzed .,,There was a drop in pressure in the pulmonary artery .
way,45109,A lonely way of life .,,Make way for .
time,45082,The judge leniently granted a sentence with no hard time .,,He had a time holding back the tears .
shock,44934,Loss of blood is an important cause of shock .,,Electricians get accustomed to occasional shocks .
drag,44961,Peeling potatoes is a drag .,,He went to the party dressed in drag .
air,44988,She was humming an air from Beethoven .,,Her hand stopped in mid air .
hit,45143,The ball hit the fence .,,The movie hits theaters in December .
hit,45052,Hit a ball .,,He hit a home run .
tip,44927,Remember to tip the waiter .,,Tip the screen upward .
third,5-0,He is playing third .,,Now put it into third .
ride,44927,Do n't ride me so hard over my failure .,,Let it ride .
corner,44988,A piano was in one corner of the room .,,The corners of the wire mesh were reinforced with little blobs of solder .
difference,45050,It just wo n't make much difference to me .,,There were irreconcilable differences .
get,45017,She did n't get his name when they met the first time .,,The ice storm got my hibiscus .
integrity,45021,The integrity of the nervous system is required for normal development .,,They admired his scrupulous professional integrity .
fall,44960,Fall prey to an imposter .,,Her hair fell across her forehead .
advance,0-0,To advance one 's interests .,,We are advancing technology every day .
follow,44932,Follow the trail .,,Follow a pattern .
place,44927,He lost his place on the page .,,A political system with no place for the less prominent groups .
subscription,45079,My library subscription is about to expire .,,The deed was attested by the subscription of his signature .
vote,44927,They are expecting a large vote .,,"The Supreme Court upheld the principle of one person , one vote ."
pick,0-2,Pick meat from a bone .,,Pick up the tab .
throw,0-3,Throw a shoe .,,Throw a glance .
come,44927,The sleeves come to your knuckles .,,Come into the room .
get,44988,What do you get when you add up these numbers ?,,Get nauseous .
figure,44987,He cut a sorry figure standing there in the rain .,,He made a figure of Santa Claus .
clear,45018,The check will clear within 2 business days .,,The sky cleared after the storm .
catch,44959,If you leave now you might catch him .,,She really caught the spirit of the place in her drawings .
drop,44927,It was a miracle that he survived the drop from that height .,,There was a drop in pressure in the pulmonary artery .
fix,44929,"Fix breakfast for the guests , please .",,I was fixing to leave town after I paid the hotel bill .
series,45047,The harmonic series has been much studied .,,They were investigating a series of bank robberies .
line,0-5,A dedicated line .,,I ca n't follow your line of reasoning .
go,45018,How fast does your new car go ?,,These luxuries all had to go under the Khmer Rouge .
top,44986,Only the top side of the box was painted .,,He stared as she buttoned her top .
death,44959,England scored a goal at the death to even the score at one all .,,It was the death of all his plans .
catch,44928,She managed to catch herself before telling her boss what was on her mind .,,He caught the allusion in her glance .
mark,44960,The citizens mark the anniversary of the revolution with a march and a parade .,,This sign marks the border .
bank,0-6,He operated a bank of switches .,,A huge bank of earth .
stage,1-0,Then we embarked on the second stage of our Caribbean cruise .,,We went out of town together by stage about ten or twelve miles .
weakness,44960,"In a small number of horses , muscle weakness may progress to paralysis .",,The weakness of the span was overlooked until it collapsed .
scratch,3-0,Scratch that remark .,,Do n't scratch your insect bites !
turn,0-2,Turn the legs of the table .,,Turn a somersault .
point,45018,To fall off a point .,,They sailed south around the point .
